item,itemcate,itemprice
py10629,雑貨,12200
mv10630,衣料,17000
oz10631,家具,20000
ve10632,家具,5000
iw10633,家電,7300
wt10634,衣料,14200
ra10635,食品,29900
kw10636,雑貨,23600
ov10637,家電,8900
qh10638,衣料,14300
vt10639,家具,25100
pr10640,家具,7900
kg10641,家具,10600
zr10642,家電,12000
lg10643,衣料,20200
nl10644,本,1053
yv10645,衣料,28100
id10646,家電,3800
bu10647,衣料,25100
tp10648,衣料,14300
kg10649,家電,24300
lv10650,本,2079
qy10651,本,1031
dp10652,本,670
zt10653,家電,24800
al10654,家電,6900
ie10655,食品,10600
mr10656,衣料,27000
qs10657,家電,21400
gp10658,本,1053
zi10659,家電,19600
el10660,雑貨,13200
jh10661,衣料,20100
dm10662,家具,17000
wq10663,家具,25800
vb10664,家具,8700
zp10665,家電,29300
el10666,家電,28200
wl10667,家電,6000
tr10668,家電,7000
wi10669,家電,4600
cy10670,本,970
tn10671,食品,16900
rj10672,家具,20400
sg10673,食品,7400
wa10674,衣料,29500
ev10675,家具,19500
vo10676,食品,14000
iv10677,食品,27700
cc10678,雑貨,12100
et10679,雑貨,17300
iv10680,衣料,13900
rs10681,雑貨,29300
sp10682,家具,21900
kj10683,雑貨,13300
uk10684,雑貨,13000
km10685,本,1524
kr10686,衣料,12500
gw10687,雑貨,5900
cm10688,食品,5000
xi10689,本,1515
iq10690,衣料,29000
ue10691,本,1909
zm10692,家具,24600
xf10693,衣料,28000
py10694,本,861
ff10695,家電,14000
bx10696,家電,29700
bx10697,本,1944
it10698,衣料,24200
ki10699,家電,13100
oq10700,家具,26400
fd10701,衣料,11600
ze10702,本,2253
ro10703,家具,8900
hl10704,食品,10000
jz10705,家具,11900
ux10706,衣料,19300
wh10707,雑貨,14800
hy10708,家具,8500
hi10709,家電,2800
hb10710,家電,7200
fv10711,家具,16900
ad10712,家電,9500
tn10713,家具,14100
uw10714,家電,17100
qw10715,雑貨,20100
lt10716,食品,2400
bu10717,本,1624
iq10718,食品,13800
st10719,食品,4700
gc10720,本,1799
wo10721,雑貨,26400
up10722,家電,23200
wt10723,衣料,25600
ip10724,衣料,14100
sd10725,衣料,7400
uo10726,食品,13700
yy10727,食品,15100
hc10728,家具,2300
wt10729,食品,12800
gs10730,家電,16900
jr10731,衣料,24100
ag10732,雑貨,3600
mi10733,家具,27300
oj10734,家電,6500
pp10735,家電,4300
go10736,雑貨,19200
vf10737,家電,15200
cq10738,家電,12800
qq10739,家具,16200
et10740,家電,29900
od10741,家電,28100
nn10742,家電,26200
zq10743,雑貨,20900
ht10744,雑貨,10200
vz10745,衣料,6400
eh10746,食品,23600
ty10747,家具,16100
ue10748,家具,7400
ne10749,家電,19600
qc10750,雑貨,26900
ze10751,雑貨,19100
am10752,家具,12100
so10753,本,607
vz10754,家具,4100
af10755,家具,22600
dx10756,家電,22400
ik10757,家具,17900
bn10758,本,1430
wo10759,食品,27400
xz10760,雑貨,13700
pt10761,衣料,21000
qt10762,衣料,7400
sw10763,衣料,20000
rv10764,衣料,25500
nc10765,本,2215
zi10766,家具,20400
iv10767,衣料,8300
qy10768,本,607
bx10769,雑貨,10800
ei10770,食品,28900
uk10771,雑貨,8900
it10772,食品,10800
xw10773,本,1576
eo10774,家電,22600
ic10775,家具,8500
rp10776,食品,13700
wa10777,家電,4200
qv10778,雑貨,14600
sr10779,雑貨,21300
eo10780,家電,21100
mm10781,衣料,26500
fu10782,雑貨,17300
xq10783,食品,29700
ub10784,雑貨,22000
ww10785,食品,1600
sl10786,家具,21500
zx10787,家電,28000
mk10788,衣料,25700
li10789,家具,7700
uv10790,食品,14500
fg10791,家具,9000
fh10792,家具,16100
gj10793,食品,5900
np10794,雑貨,21100
mf10795,衣料,10000
nb10796,衣料,18100
gt10797,家具,8600
je10798,家具,15600
cq10799,食品,17400
yz10800,雑貨,17100
uu10801,衣料,8800
xc10802,本,1017
lm10803,食品,23700
fx10804,雑貨,11700
bx10805,本,1765
hi10806,本,1729
mb10807,家電,14800
nl10808,食品,20000
pv10809,食品,25900
ts10810,本,2103
ld10811,家電,23900
hw10812,家具,19100
qk10813,衣料,22000
ns10814,雑貨,8500
fm10815,家具,20400
lv10816,家電,4700
og10817,家具,21200
ig10818,家電,7100
cj10819,家電,27700
tr10820,家具,11500
bk10821,家具,9600
am10822,家電,9800
bt10823,家電,3100
vc10824,雑貨,7800
px10825,雑貨,29300
ye10826,家電,13200
oy10827,家具,14300
fj10828,家電,20700
nq10829,本,2451
rr10830,衣料,22000
dg10831,本,1376
sx10832,家電,16500
gl10833,雑貨,8800
zw10834,家電,16100
hn10835,食品,18500
ku10836,衣料,6500
qr10837,食品,18900
wy10838,家電,24400
rx10839,家電,2700
js10840,本,1520
ac10841,家電,13800
wj10842,衣料,1500
yc10843,本,1760
np10844,雑貨,27300
ov10845,衣料,4300
qa10846,本,1904
mq10847,家電,20300
cn10848,本,1036
kn10849,家電,3300
bb10850,衣料,17900
bq10851,雑貨,3300
rt10852,衣料,4600
al10853,本,2036
xq10854,家電,22100
gq10855,本,2088
oa10856,家電,11300
rm10857,家具,29400
mf10858,家具,3700
kh10859,本,2019
el10860,食品,7300
pq10861,本,963
wo10862,家電,7100
kh10863,食品,20900
sh10864,雑貨,4300
ok10865,家電,25900
yg10866,衣料,25000
hf10867,食品,25200
ho10868,本,2099
tm10869,家具,2600
jx10870,家具,12100
lj10871,家具,1900
da10872,本,1783
dz10873,食品,19400
wf10874,衣料,13700
mv10875,家電,4800
rs10876,雑貨,13700
zi10877,家電,21300
fc10878,衣料,3000
ys10879,本,1695
bb10880,食品,8200
ka10881,本,1590
rv10882,本,1959
jm10883,家具,26100
yp10884,本,1890
tn10885,本,2340
mq10886,食品,14700
av10887,家具,9900
qz10888,家電,22100
qw10889,食品,2600
kr10890,食品,28300
ma10891,本,1983
vt10892,家電,13500
ha10893,家具,12500
ja10894,家具,3200
ri10895,雑貨,24600
sm10896,衣料,9000
pr10897,家電,23800
pn10898,衣料,12100
qf10899,雑貨,1900
or10900,雑貨,23100
xi10901,家具,12700
gt10902,家具,19500
we10903,衣料,19200
dc10904,本,1013
ho10905,食品,25800
kk10906,本,930
wz10907,本,966
da10908,雑貨,5500
xz10909,本,1328
ov10910,本,2055
sz10911,雑貨,25400
zt10912,衣料,23800
jj10913,本,2280
gw10914,家電,13000
qo10915,雑貨,10100
ah10916,家具,11800
gc10917,衣料,6900
ua10918,食品,7200
bb10919,家電,28900
nf10920,衣料,7700
qr10921,衣料,15000
ra10922,雑貨,4700
ax10923,家具,22400
di10924,家電,21000
hh10925,雑貨,21500
oy10926,食品,12400
hj10927,雑貨,11200
mp10928,食品,15700
uk10929,衣料,28100
yn10930,本,1059
mb10931,雑貨,12700
kt10932,本,1034
kk10933,家具,21200
oz10934,食品,16700
bv10935,家具,23300
ps10936,本,956
kl10937,家具,2000
ba10938,食品,26000
vm10939,本,957
xo10940,本,2160
or10941,家電,11100
pf10942,家電,14700
kx10943,衣料,26400
gd10944,食品,2500
ot10945,食品,12900
vo10946,雑貨,2200
ye10947,雑貨,29300
to10948,家具,23400
yj10949,本,1193
ag10950,本,1813
uy10951,食品,23600
tu10952,本,1351
uq10953,雑貨,19900
bt10954,本,757
pc10955,本,844
vk10956,食品,12600
ib10957,家具,27000
yl10958,衣料,2100
hf10959,雑貨,18000
dk10960,家具,17700
pr10961,家電,17400
xg10962,食品,7700
zd10963,家電,19400
xs10964,雑貨,5900
yh10965,家具,28900
xs10966,雑貨,13800
lp10967,食品,28600
ta10968,本,690
dn10969,衣料,21200
ux10970,家電,19100
nt10971,食品,25300
qn10972,本,1193
se10973,雑貨,26400
dq10974,衣料,23700
ci10975,食品,19600
ms10976,食品,25800
se10977,本,842
cm10978,衣料,24600
xh10979,雑貨,7500
ts10980,家電,2300
wy10981,衣料,12400
bt10982,家電,28100
iq10983,食品,22000
mu10984,家具,1200
cj10985,本,1248
px10986,雑貨,21900
vf10987,衣料,3500
uw10988,家電,3400
mt10989,家電,22400
vw10990,家電,17800
ff10991,家電,26900
xl10992,本,1279
ie10993,本,842
pp10994,家具,15700
bd10995,家具,12100
vm10996,衣料,29800
ht10997,本,1419
wo10998,本,1242
gf10999,雑貨,16900
py11000,雑貨,28800
il11001,食品,2400
po11002,食品,7700
ud11003,本,1890
bu11004,雑貨,2800
js11005,雑貨,5200
mn11006,衣料,6500
fs11007,家具,10500
fk11008,食品,6500
gn11009,家具,21700
xs11010,家具,18400
xs11011,家具,18100
ua11012,家電,8300
fo11013,家電,5800
fp11014,本,2268
mq11015,食品,14700
sb11016,家電,6000
ax11017,本,938
we11018,本,1914
pk11019,衣料,14800
dg11020,家電,5700
zv11021,本,1967
px11022,本,1070
bj11023,食品,9500
wf11024,家具,27700
qj11025,雑貨,2100
lk11026,家電,16700
cs11027,本,1043
ag11028,家具,19300
ce11029,家具,15300
iy11030,本,1728
un11031,家電,9100
ue11032,雑貨,19200
yh11033,衣料,7200
nr11034,家具,13300
za11035,衣料,21800
wg11036,雑貨,18200
wy11037,雑貨,15500
vv11038,家電,24200
ij11039,雑貨,3900
sw11040,食品,13500
le11041,食品,23000
oq11042,家電,12200
hv11043,衣料,4300
fg11044,家電,12100
gk11045,家具,10900
fw11046,衣料,4800
rh11047,本,1317
aa11048,本,683
js11049,衣料,24700
hx11050,家電,15500
td11051,家具,29100
oa11052,食品,28100
vm11053,衣料,24400
gq11054,家具,23100
qd11055,食品,2200
ao11056,衣料,14600
ol11057,家電,18000
ux11058,家具,26100
qy11059,家具,7500
rm11060,食品,19400
mh11061,衣料,17500
fh11062,本,2398
nh11063,雑貨,18500
ku11064,家電,17400
nb11065,本,1819
uk11066,雑貨,23100
fc11067,本,2257
qe11068,家電,9400
lq11069,家電,18800
jf11070,家具,27900
ic11071,本,729
tv11072,本,1240
qj11073,衣料,25600
gp11074,衣料,11600
gv11075,雑貨,27900
cv11076,家電,11900
kw11077,本,823
at11078,家具,4000
bs11079,家電,27200
hn11080,家電,28500
ws11081,食品,12000
tw11082,家具,1600
mz11083,家電,10100
fi11084,本,1329
kz11085,本,680
qg11086,家電,21300
mn11087,本,778
zr11088,食品,14100
xv11089,家具,19600
xo11090,家電,14900
kr11091,雑貨,5900
xt11092,食品,20400
ab11093,家電,2900
wj11094,家電,25600
nv11095,食品,17000
wd11096,食品,28700
zq11097,雑貨,14700
gl11098,家具,14200
ra11099,家電,29100
mt11100,本,843
rp11101,家具,14000
ao11102,本,1681
hf11103,衣料,11200
vq11104,食品,13800
fj11105,家具,13500
mg11106,雑貨,24900
uq11107,家電,3700
sb11108,家電,24000
ro11109,衣料,14600
gl11110,本,1514
sm11111,雑貨,4800
ci11112,食品,4300
eg11113,衣料,10400
qx11114,家具,4000
yw11115,衣料,19200
fi11116,衣料,17500
mo11117,家具,5200
mm11118,雑貨,1700
mc11119,雑貨,5700
tr11120,家電,15000
qi11121,雑貨,26700
zn11122,本,1117
wb11123,食品,12900
td11124,家具,16900
bm11125,本,1882
ph11126,食品,9800
ri11127,家電,3100
iq11128,衣料,21400
pv11129,衣料,20100
dp11130,家電,13400
wh11131,家電,17500
xv11132,食品,2700
tu11133,本,1863
gl11134,家電,28900
ji11135,家具,21800
co11136,衣料,22900
vm11137,家具,9900
fh11138,家具,4800
eg11139,家電,22400
ud11140,食品,23400
nn11141,衣料,3300
ch11142,衣料,8800
zs11143,家具,7200
ll11144,本,669
rb11145,家電,2300
tl11146,雑貨,19000
on11147,雑貨,8300
yt11148,食品,1600
zd11149,食品,19400
jc11150,家電,6600
uc11151,本,871
sl11152,本,1366
cc11153,雑貨,20900
nc11154,雑貨,5300
qa11155,雑貨,5500
lf11156,家電,25300
hl11157,家電,16000
hh11158,衣料,25400
os11159,家具,28300
ta11160,衣料,27000
fp11161,衣料,11600
zm11162,雑貨,12600
tf11163,本,1471
xx11164,本,1714
lj11165,家具,27100
hk11166,雑貨,16900
cl11167,衣料,14900
vn11168,雑貨,28600
zx11169,家具,23500
zi11170,本,2438
de11171,衣料,17500
dj11172,衣料,9300
dw11173,雑貨,6500
xp11174,食品,28900
fn11175,食品,10800
iz11176,家具,19200
wq11177,家具,23300
ft11178,本,1438
gf11179,雑貨,4000
jc11180,食品,16900
sm11181,家電,27600
rc11182,食品,13500
pg11183,雑貨,29300
ag11184,家具,24600
ko11185,衣料,13700
fk11186,雑貨,11700
vw11187,食品,27500
gi11188,家具,15400
co11189,本,1920
dy11190,本,714
jj11191,家電,8700
yf11192,家電,11100
la11193,家具,10900
qq11194,食品,18500
td11195,家具,9500
pu11196,食品,4300
ko11197,衣料,12500
nx11198,本,1948
js11199,家具,9300
as11200,食品,14000
qv11201,家具,22500
xw11202,本,1398
hn11203,家電,9900
jr11204,雑貨,13400
sl11205,家具,2600
rz11206,家電,17700
ju11207,雑貨,2100
zn11208,雑貨,17700
yu11209,本,2274
lu11210,衣料,22500
yy11211,家具,8400
ra11212,家具,2100
ru11213,食品,26900
qu11214,衣料,2600
dh11215,家電,27300
om11216,雑貨,27700
gt11217,本,1859
as11218,食品,4100
gh11219,家具,18400
ry11220,食品,13400
lb11221,家具,20100
wb11222,家具,22000
og11223,家電,25300
wy11224,雑貨,10900
na11225,雑貨,14200
ye11226,家電,28800
zp11227,衣料,2500
xe11228,食品,10000
ut11229,衣料,20900
qx11230,食品,11600
sb11231,衣料,15500
ah11232,家電,7000
vi11233,食品,25200
jj11234,衣料,11300
ua11235,雑貨,4500
nj11236,食品,1600
ij11237,食品,6000
ez11238,衣料,11000
si11239,雑貨,20600
pf11240,雑貨,18700
ph11241,食品,21700
xi11242,食品,14000
dq11243,本,1853
vd11244,雑貨,3400
ov11245,本,1915
ol11246,家具,3300
hv11247,雑貨,2900
hu11248,食品,15200
av11249,雑貨,4100
iu11250,家具,13500
gq11251,雑貨,29000
