customerid,orderdate,orderno,itemprice,orderitem,orderitemcate,ordernum,orderprice,,
G1004890,2019/6/28,20190628-100048,13000,gw10914,家電,3,39000,,
F1004945,2019/4/8,20190408-100049,1053,nl10644,本,1,1053,,
D1005030,2019/3/7,20190307-100050,27300,mi10733,家具,2,54600,,
F1005120,2020/5/12,20200512-100051,865,uv12205,本,3,2595,,
U1005265,2021/4/7,20210407-100052,26000,ij12460,家電,3,78000,,
M1005327,2019/11/25,20191125-100053,5800,ye10324,家電,3,17400,,
F1005477,2019/7/9,20190709-100054,15900,np10406,食品,3,47700,,
R1005537,2021/1/11,20210111-100055,2600,tm10869,家具,1,2600,,
N1005665,2019/2/27,20190227-100056,15000,ie12424,雑貨,2,30000,,
L1005718,2019/11/20,20191120-100057,1803,kn12537,本,3,5409,,
D1005892,2021/10/18,20211018-100058,11700,px10584,雑貨,2,23400,,
X1005964,2020/4/30,20200430-100059,1968,mw12110,本,1,1968,,
O1006012,2019/10/8,20191008-100060,10600,ie10655,食品,2,21200,,
Q1006168,2020/10/3,20201003-100061,3200,ch11596,雑貨,3,9600,,
V1006262,2021/7/17,20210717-100062,17800,re12403,家具,1,17800,,
T1006389,2019/6/24,20190624-100063,15700,pp10994,家具,1,15700,,
R1006445,2020/11/20,20201120-100064,27300,il12843,衣料,1,27300,,
W1006535,2021/10/7,20211007-100065,7500,qy11059,家具,1,7500,,
Y1006692,2019/12/3,20191203-100066,11600,fp11161,衣料,2,23200,,
C1006766,2020/11/25,20201125-100067,24400,ac11860,家電,3,73200,,
C1006813,2019/3/19,20190319-100068,1944,bx10697,本,2,3888,,
L1006934,2020/7/23,20200723-100069,28900,ei10770,食品,2,57800,,
E1007096,2021/2/4,20210204-100070,29600,wn12159,雑貨,3,88800,,
C1007155,2021/8/8,20210808-100071,5000,jc12859,家電,2,10000,,
I1007245,2020/4/15,20200415-100072,1900,qf10899,雑貨,3,5700,,
V1007327,2021/6/29,20210629-100073,11400,dq11593,食品,2,22800,,
G1007455,2021/10/14,20211014-100074,11400,yh11289,雑貨,3,34200,,
S1007580,2019/2/16,20190216-100075,25500,tz11729,家電,3,76500,,
S1007623,2020/7/23,20200723-100076,22300,gs12090,食品,1,22300,,
V1007792,2019/9/20,20190920-100077,22500,lu11210,衣料,1,22500,,
E1007862,2021/5/8,20210508-100078,17000,jg11427,家具,2,34000,,
I1007950,2019/7/31,20190731-100079,19000,we12094,食品,2,38000,,
Q1008051,2021/4/20,20210420-100080,23700,af10181,衣料,3,71100,,
F1008174,2021/4/24,20210424-100081,2323,le12162,本,1,2323,,
F1008222,2020/4/30,20200430-100082,10700,ve10196,家具,3,32100,,
H1008341,2021/9/10,20210910-100083,25300,lf11156,家電,2,50600,,
U1008475,2019/3/26,20190326-100084,1968,mw12110,本,1,1968,,
A1008517,2019/3/2,20190302-100085,1400,er12022,家電,1,1400,,
G1008634,2019/6/14,20190614-100086,26200,hq12360,家電,2,52400,,
B1008747,2021/7/28,20210728-100087,2900,hv11247,雑貨,3,8700,,
B1008890,2021/6/6,20210606-100088,1093,xs11445,本,3,3279,,
L1008959,2021/10/22,20211022-100089,29100,td11051,家具,1,29100,,
R1009070,2019/11/5,20191105-100090,12700,mb10931,雑貨,1,12700,,
E1009134,2021/5/2,20210502-100091,16500,sx10832,家電,1,16500,,
H1009264,2021/5/20,20210520-100092,15000,fj10107,雑貨,1,15000,,
X1009329,2021/4/6,20210406-100093,29700,lp12790,食品,3,89100,,
V1009466,2021/1/26,20210126-100094,1614,ep12749,本,3,4842,,
O1009543,2021/5/4,20210504-100095,4100,et12014,家具,3,12300,,
W1009668,2019/9/18,20190918-100096,7700,pw12702,家具,3,23100,,
B1009775,2020/7/26,20200726-100097,5100,bx12246,衣料,3,15300,,
S1009851,2020/5/12,20200512-100098,12900,zo12682,家具,2,25800,,
T1009996,2021/2/14,20210214-100099,5400,gl12611,食品,2,10800,,
H1010045,2019/8/7,20190807-100100,16400,ct11723,家電,2,32800,,
Y1010131,2021/4/25,20210425-100101,757,bt10954,本,2,1514,,
A1010238,2021/4/22,20210422-100102,17800,re12403,家具,1,17800,,
G1010344,2019/10/3,20191003-100103,1337,iq10597,本,2,2674,,
T1010494,2019/4/22,20190422-100104,2500,uk11785,家具,3,7500,,
M1010575,2019/11/23,20191123-100105,14700,mq11015,食品,2,29400,,
A1010614,2020/1/28,20200128-100106,19400,cy12955,雑貨,3,58200,,
B1010736,2019/5/30,20190530-100107,12100,wh12000,家電,2,24200,,
H1010893,2020/8/3,20200803-100108,1641,np10341,本,3,4923,,
R1010973,2020/7/4,20200704-100109,935,mj11855,本,1,935,,
W1011079,2019/11/3,20191103-100110,28100,pu12098,雑貨,1,28100,,
F1011122,2019/2/23,20190223-100111,14700,tr11972,家電,2,29400,,
H1011291,2020/1/5,20200105-100112,1842,nz10322,本,2,3684,,
D1011361,2020/7/3,20200703-100113,19300,kt10244,雑貨,1,19300,,
V1011467,2021/4/10,20210410-100114,23500,my12527,食品,3,70500,,
K1011559,2020/7/29,20200729-100115,8500,sc11971,雑貨,1,8500,,
I1011642,2020/3/19,20200319-100116,1210,pw12517,本,3,3630,,
H1011762,2020/4/24,20200424-100117,28000,gr12946,衣料,3,84000,,
M1011818,2019/9/6,20190906-100118,24500,fa12329,家具,1,24500,,
Z1011965,2020/2/18,20200218-100119,14700,pf10942,家電,1,14700,,
G1012086,2021/8/22,20210822-100120,1783,ul12909,本,3,5349,,
X1012169,2019/7/27,20190727-100121,606,kj10445,本,3,1818,,
B1012215,2020/5/24,20200524-100122,16900,iz11974,衣料,3,50700,,
Y1012379,2021/8/4,20210804-100123,14000,xi11242,食品,3,42000,,
V1012433,2019/9/8,20190908-100124,3100,qe10567,食品,2,6200,,
C1012528,2019/6/25,20190625-100125,22800,hl12069,衣料,2,45600,,
O1012693,2021/7/28,20210728-100126,16700,qc12437,食品,3,50100,,
K1012792,2020/6/6,20200606-100127,2090,kf12145,本,3,6270,,
H1012828,2020/7/13,20200713-100128,3000,ru10359,家電,3,9000,,
I1012944,2021/7/8,20210708-100129,1500,ov12118,食品,3,4500,,
H1013088,2019/5/16,20190516-100130,26300,ur12057,雑貨,1,26300,,
N1013184,2021/10/26,20211026-100131,19100,ux10970,家電,1,19100,,
D1013259,2020/1/21,20200121-100132,1762,pn12124,本,1,1762,,
D1013332,2020/4/17,20200417-100133,26900,hk11690,衣料,2,53800,,
X1013466,2020/11/16,20201116-100134,19900,bb11364,衣料,3,59700,,
N1013541,2019/4/22,20190422-100135,23200,wc12196,雑貨,3,69600,,
Z1013622,2021/3/28,20210328-100136,18000,sa10042,家電,1,18000,,
J1013719,2020/12/11,20201211-100137,20900,cc11153,雑貨,2,41800,,
U1013854,2020/8/3,20200803-100138,19500,ua12429,食品,1,19500,,
W1013914,2020/5/14,20200514-100139,1315,kr12990,本,3,3945,,
K1014010,2019/4/7,20190407-100140,15500,bm12056,雑貨,1,15500,,
H1014141,2020/5/1,20200501-100141,12400,yw12764,衣料,2,24800,,
Z1014289,2020/2/24,20200224-100142,26700,kn12283,雑貨,2,53400,,
O1014361,2020/11/19,20201119-100143,13500,wd11706,雑貨,3,40500,,
H1014482,2021/4/27,20210427-100144,26700,kn12283,雑貨,3,80100,,
H1014544,2019/7/21,20190721-100145,20100,nv12294,雑貨,2,40200,,
T1014624,2021/9/29,20210929-100146,26100,co12441,雑貨,3,78300,,
P1014719,2020/1/23,20200123-100147,13800,qr11760,家具,1,13800,,
L1014839,2020/11/13,20201113-100148,3400,fa12974,食品,1,3400,,
U1014938,2020/10/24,20201024-100149,1985,gq12754,本,3,5955,,
P1015046,2019/12/1,20191201-100150,28300,qw12177,家具,1,28300,,
R1015187,2019/10/15,20191015-100151,20100,qg11776,雑貨,2,40200,,
Z1015269,2019/7/3,20190703-100152,10100,bx10060,家具,3,30300,,
F1015352,2020/6/21,20200621-100153,4700,bx12733,衣料,2,9400,,
G1015459,2020/6/6,20200606-100154,10500,uw12206,衣料,1,10500,,
A1015538,2021/5/26,20210526-100155,1426,jd11798,本,2,2852,,
X1015650,2019/11/12,20191112-100156,1200,hw12356,食品,2,2400,,
H1015731,2020/12/11,20201211-100157,17500,de11171,衣料,3,52500,,
O1015893,2019/5/28,20190528-100158,23600,eh10746,食品,2,47200,,
V1015960,2020/7/3,20200703-100159,1925,oj11580,本,1,1925,,
K1016074,2020/12/25,20201225-100160,11600,qx11230,食品,1,11600,,
V1016154,2019/8/25,20190825-100161,12600,mz11669,家電,3,37800,,
S1016258,2019/3/25,20190325-100162,1455,wk12228,本,1,1455,,
O1016378,2019/2/18,20190218-100163,29500,wp11653,雑貨,3,88500,,
A1016488,2020/6/27,20200627-100164,22500,ol10554,家具,1,22500,,
H1016537,2020/1/26,20200126-100165,8200,on11710,家具,2,16400,,
J1016695,2019/11/28,20191128-100166,29400,pn11536,雑貨,2,58800,,
P1016783,2021/7/8,20210708-100167,25400,wq12628,衣料,2,50800,,
V1016816,2020/6/13,20200613-100168,17900,rd10523,衣料,3,53700,,
J1016921,2021/1/1,20210101-100169,18300,yu10353,家具,1,18300,,
U1017047,2020/3/6,20200306-100170,17200,lu12530,衣料,3,51600,,
U1017145,2021/3/24,20210324-100171,17900,mf12508,家具,3,53700,,
D1017291,2020/11/26,20201126-100172,12000,mx11581,家電,3,36000,,
P1017380,2020/6/3,20200603-100173,27800,lg10318,家電,2,55600,,
F1017452,2021/6/14,20210614-100174,19100,hw10812,家具,3,57300,,
I1017589,2020/7/16,20200716-100175,683,aa11048,本,3,2049,,
R1017645,2021/1/20,20210120-100176,3700,uq11107,家電,2,7400,,
D1017749,2021/3/26,20210326-100177,2200,vo10946,雑貨,3,6600,,
L1017812,2021/7/22,20210722-100178,19600,pl12108,家電,1,19600,,
F1017959,2021/2/6,20210206-100179,13500,vu12039,雑貨,2,27000,,
D1018086,2019/11/12,20191112-100180,13200,ye10826,家電,2,26400,,
Z1018153,2019/7/4,20190704-100181,1402,cg12926,本,1,1402,,
L1018221,2021/1/20,20210120-100182,11400,zd12421,家電,2,22800,,
E1018353,2019/11/17,20191117-100183,1927,fs11645,本,3,5781,,
O1018456,2021/5/23,20210523-100184,714,dy11190,本,2,1428,,
O1018581,2021/4/5,20210405-100185,8500,hy10708,家具,1,8500,,
F1018658,2021/3/25,20210325-100186,28800,ey11898,食品,1,28800,,
B1018724,2021/7/24,20210724-100187,16400,wq11708,食品,1,16400,,
M1018811,2021/8/30,20210830-100188,778,mn11087,本,1,778,,
J1018983,2021/6/7,20210607-100189,1500,ku12311,雑貨,1,1500,,
K1019014,2020/7/18,20200718-100190,23200,oh11602,衣料,3,69600,,
W1019119,2020/8/26,20200826-100191,18600,hi10549,衣料,2,37200,,
J1019257,2020/4/23,20200423-100192,6400,tt11716,衣料,1,6400,,
X1019369,2019/4/7,20190407-100193,24600,ag11184,家具,1,24600,,
A1019492,2019/10/13,20191013-100194,12500,bh11328,衣料,3,37500,,
N1019561,2020/4/20,20200420-100195,25100,xh10565,雑貨,1,25100,,
I1019673,2020/7/31,20200731-100196,29800,ix11662,食品,2,59600,,
W1019734,2021/8/31,20210831-100197,6100,cy11936,家電,3,18300,,
J1019863,2021/6/18,20210618-100198,3300,nn11141,衣料,2,6600,,
T1019993,2021/9/3,20210903-100199,9700,au10496,家電,3,29100,,
A1020076,2020/9/17,20200917-100200,23500,tl12835,食品,2,47000,,
K1020169,2021/1/25,20210125-100201,9800,tb10441,食品,2,19600,,
Y1020295,2020/11/20,20201120-100202,19400,rm11060,食品,3,58200,,
U1020384,2019/12/14,20191214-100203,2098,ku12189,本,2,4196,,
W1020457,2019/5/11,20190511-100204,12200,dl10407,食品,1,12200,,
X1020596,2021/4/23,20210423-100205,17000,nv11095,食品,3,51000,,
T1020698,2021/5/9,20210509-100206,17700,zn11208,雑貨,3,53100,,
W1020787,2020/9/8,20200908-100207,5000,hw11796,家電,1,5000,,
G1020830,2020/11/27,20201127-100208,1449,co12408,本,2,2898,,
S1020911,2019/5/3,20190503-100209,29800,sv12878,家具,1,29800,,
F1021095,2020/7/27,20200727-100210,17200,pg10033,家電,1,17200,,
C1021163,2021/9/8,20210908-100211,16800,kg12920,家具,3,50400,,
B1021223,2019/6/11,20190611-100212,963,pq10861,本,1,963,,
E1021317,2019/3/16,20190316-100213,10400,np11909,家具,1,10400,,
E1021411,2020/11/19,20201119-100214,1205,eo12663,本,3,3615,,
J1021597,2020/6/13,20200613-100215,5200,sm12797,衣料,2,10400,,
I1021647,2019/9/18,20190918-100216,2274,yu11209,本,3,6822,,
G1021719,2019/6/12,20190612-100217,2500,uk11785,家具,3,7500,,
T1021841,2020/2/7,20200207-100218,28600,kr12284,衣料,3,85800,,
A1021935,2020/8/7,20200807-100219,16600,ir12477,家電,1,16600,,
M1022098,2021/3/26,20210326-100220,2260,jt12884,本,2,4520,,
N1022165,2020/7/4,20200704-100221,919,lc12686,本,1,919,,
B1022223,2021/1/18,20210118-100222,5400,zi10282,食品,2,10800,,
D1022310,2020/3/24,20200324-100223,9700,ay12372,家具,2,19400,,
Q1022423,2020/5/2,20200502-100224,17000,dm10662,家具,1,17000,,
K1022586,2020/7/4,20200704-100225,9200,qa10206,家電,1,9200,,
L1022676,2020/11/14,20201114-100226,930,kk10906,本,1,930,,
W1022778,2021/3/6,20210306-100227,20800,qc12601,家電,1,20800,,
K1022853,2019/3/7,20190307-100228,5700,zt10522,雑貨,2,11400,,
S1022979,2020/10/23,20201023-100229,26900,vl12762,家具,1,26900,,
V1023055,2020/12/10,20201210-100230,12200,en12231,衣料,3,36600,,
A1023130,2020/9/26,20200926-100231,13800,iq10718,食品,2,27600,,
N1023259,2020/5/31,20200531-100232,13400,bb12596,衣料,1,13400,,
G1023320,2020/3/20,20200320-100233,19500,ua12429,食品,2,39000,,
U1023471,2021/3/1,20210301-100234,20200,mq10435,家電,3,60600,,
R1023561,2020/10/15,20201015-100235,13800,zr11591,衣料,1,13800,,
X1023641,2019/9/17,20190917-100236,17300,ig10014,雑貨,2,34600,,
A1023765,2021/1/30,20210130-100237,1932,je12918,本,2,3864,,
Q1023868,2019/9/27,20190927-100238,3600,cb12121,家具,2,7200,,
V1023913,2021/1/24,20210124-100239,16200,bt10514,食品,1,16200,,
Y1024073,2020/1/7,20200107-100240,12000,hz11671,食品,1,12000,,
O1024134,2021/3/5,20210305-100241,2036,al10853,本,2,4072,,
V1024276,2019/11/11,20191111-100242,1335,ei12005,本,2,2670,,
U1024355,2019/10/18,20191018-100243,20400,fm10815,家具,3,61200,,
P1024481,2021/9/19,20210919-100244,22400,id10598,食品,2,44800,,
Y1024525,2019/10/27,20191027-100245,13200,eu10325,家具,1,13200,,
M1024674,2019/5/9,20190509-100246,11200,ow12609,家具,3,33600,,
X1024728,2020/10/12,20201012-100247,3600,vw11888,家具,1,3600,,
P1024870,2020/3/22,20200322-100248,7600,vb12826,雑貨,2,15200,,
D1024911,2019/4/12,20190412-100249,14900,si10388,雑貨,3,44700,,
G1025043,2021/4/29,20210429-100250,8600,aw11608,家具,2,17200,,
Y1025170,2021/5/11,20210511-100251,2200,ir11728,雑貨,2,4400,,
A1025293,2021/4/8,20210408-100252,7200,hb10710,家電,1,7200,,
A1025399,2021/4/13,20210413-100253,12100,cc10678,雑貨,3,36300,,
S1025422,2021/7/8,20210708-100254,7200,zs11143,家具,3,21600,,
B1025594,2019/5/23,20190523-100255,26900,qc10750,雑貨,1,26900,,
Q1025616,2020/9/11,20200911-100256,2019,kh10859,本,3,6057,,
N1025731,2019/2/19,20190219-100257,3800,eb10455,衣料,2,7600,,
H1025841,2020/2/29,20200229-100258,1641,np10341,本,1,1641,,
E1025942,2021/5/12,20210512-100259,2344,zp12656,本,2,4688,,
L1026038,2019/4/2,20190402-100260,19500,aa12107,食品,1,19500,,
W1026157,2020/10/1,20201001-100261,17200,pt10242,衣料,3,51600,,
E1026227,2019/2/17,20190217-100262,13800,qr11760,家具,2,27600,,
X1026333,2019/6/6,20190606-100263,21700,sg12706,食品,1,21700,,
X1026475,2019/8/20,20190820-100264,1664,lv11329,本,2,3328,,
J1026565,2019/3/19,20190319-100265,17000,mv10630,衣料,3,51000,,
T1026671,2020/2/4,20200204-100266,27400,wo10759,食品,3,82200,,
M1026774,2021/8/27,20210827-100267,1800,hi11557,雑貨,2,3600,,
A1026876,2021/5/24,20210524-100268,8500,hy10708,家具,1,8500,,
F1026957,2021/9/10,20210910-100269,2349,cn10610,本,2,4698,,
L1027068,2019/8/17,20190817-100270,28100,jj12528,家具,1,28100,,
Z1027118,2021/3/11,20210311-100271,22100,pz10159,家電,2,44200,,
O1027214,2021/1/27,20210127-100272,2274,km12030,本,1,2274,,
I1027340,2020/3/14,20200314-100273,15500,ey12581,衣料,2,31000,,
N1027451,2019/11/10,20191110-100274,15000,kz12018,家電,1,15000,,
W1027571,2019/6/20,20190620-100275,3100,yb11380,家電,2,6200,,
Y1027679,2021/1/27,20210127-100276,28300,qw12177,家具,3,84900,,
U1027792,2020/9/25,20200925-100277,11500,gs13000,雑貨,1,11500,,
P1027898,2019/6/17,20190617-100278,8500,ns10814,雑貨,3,25500,,
Q1027923,2020/3/11,20200311-100279,11800,di11742,家電,3,35400,,
L1028047,2019/8/26,20190826-100280,11600,an11694,衣料,2,23200,,
P1028129,2021/2/19,20210219-100281,1402,cg12926,本,3,4206,,
X1028239,2020/12/15,20201215-100282,23800,gk11469,家電,1,23800,,
W1028316,2020/5/13,20200513-100283,14400,cw12850,衣料,1,14400,,
M1028421,2019/4/14,20190414-100284,26300,xp12394,食品,1,26300,,
X1028527,2020/4/26,20200426-100285,1416,wr12890,本,3,4248,,
W1028696,2020/2/14,20200214-100286,17300,rj12514,家具,3,51900,,
Q1028750,2019/7/18,20190718-100287,17300,fu10782,雑貨,3,51900,,
I1028863,2020/7/20,20200720-100288,10500,kc12913,家具,1,10500,,
Q1028964,2020/12/7,20201207-100289,17300,yi11405,家具,1,17300,,
Z1029064,2019/10/14,20191014-100290,29000,gq11251,雑貨,1,29000,,
S1029167,2020/5/27,20200527-100291,7600,xa12572,食品,3,22800,,
Q1029232,2021/2/11,20210211-100292,26500,su12420,家具,3,79500,,
X1029363,2020/12/30,20201230-100293,22700,kr11298,衣料,3,68100,,
R1029441,2021/10/30,20211030-100294,5800,wd12954,家具,1,5800,,
Z1029519,2020/4/4,20200404-100295,17400,us11390,食品,3,52200,,
G1029632,2021/8/2,20210802-100296,29000,em12551,家電,2,58000,,
S1029783,2020/3/19,20200319-100297,2700,zi11942,食品,2,5400,,
H1029856,2020/3/14,20200314-100298,16900,jc11180,食品,1,16900,,
J1029913,2020/10/7,20201007-100299,17400,ah11388,食品,1,17400,,
I1030053,2019/9/13,20190913-100300,1760,yc10843,本,2,3520,,
B1030156,2021/2/19,20210219-100301,5400,gl12611,食品,3,16200,,
U1030243,2020/1/13,20200113-100302,12200,lb11482,家具,1,12200,,
A1030361,2020/11/6,20201106-100303,23200,wc12196,雑貨,1,23200,,
Q1030448,2019/11/30,20191130-100304,23800,gk11469,家電,1,23800,,
I1030511,2020/11/26,20201126-100305,19000,sl10366,衣料,3,57000,,
O1030684,2021/10/6,20211006-100306,14800,wh10707,雑貨,2,29600,,
D1030748,2020/3/29,20200329-100307,877,ct10127,本,1,877,,
C1030816,2019/2/13,20190213-100308,11900,dp12588,家具,2,23800,,
U1030963,2019/4/29,20190429-100309,5500,ch12616,食品,3,16500,,
C1031024,2020/12/8,20201208-100310,20500,qw12176,家具,3,61500,,
E1031199,2021/6/12,20210612-100311,1277,ks10449,本,3,3831,,
J1031227,2019/6/29,20190629-100312,28500,os10525,家具,1,28500,,
I1031351,2019/11/21,20191121-100313,26000,gj11754,雑貨,2,52000,,
V1031441,2020/11/19,20201119-100314,7100,wv12297,家電,1,7100,,
S1031583,2020/4/2,20200402-100315,5300,fa12359,家具,1,5300,,
S1031653,2021/9/11,20210911-100316,27000,ta11160,衣料,3,81000,,
T1031749,2019/7/18,20190718-100317,10100,kr10424,食品,3,30300,,
G1031865,2020/3/21,20200321-100318,652,aj13000,本,3,1956,,
K1031975,2021/2/8,20210208-100319,28600,eb10114,家具,3,85800,,
M1032050,2019/11/22,20191122-100320,14600,bm11792,食品,2,29200,,
N1032184,2019/3/3,20190303-100321,14900,tp12567,雑貨,2,29800,,
L1032225,2019/5/4,20190504-100322,24100,sb10123,雑貨,3,72300,,
T1032357,2020/8/6,20200806-100323,1631,ti11331,本,1,1631,,
E1032486,2019/5/8,20190508-100324,10700,ro12649,家電,3,32100,,
A1032513,2020/4/8,20200408-100325,27000,ta11160,衣料,2,54000,,
B1032680,2021/10/24,20211024-100326,9300,jj11490,雑貨,1,9300,,
J1032747,2019/11/25,20191125-100327,3300,li12188,雑貨,3,9900,,
J1032819,2021/2/28,20210228-100328,29500,hl12034,雑貨,3,88500,,
Y1032972,2020/1/8,20200108-100329,23200,wc12196,雑貨,3,69600,,
L1033065,2020/12/12,20201212-100330,15900,lj10166,家電,1,15900,,
W1033137,2020/6/19,20200619-100331,12700,xi10901,家具,1,12700,,
D1033242,2020/4/5,20200405-100332,26000,au10436,家具,1,26000,,
S1033364,2020/9/25,20200925-100333,3500,vf10987,衣料,3,10500,,
B1033460,2020/10/15,20201015-100334,21300,kr10080,家具,1,21300,,
U1033591,2020/2/29,20200229-100335,2459,rm12840,本,3,7377,,
I1033651,2021/2/11,20210211-100336,2100,qj11025,雑貨,1,2100,,
R1033717,2021/8/31,20210831-100337,930,kk10906,本,2,1860,,
S1033836,2020/11/7,20201107-100338,25100,xh10565,雑貨,1,25100,,
I1033998,2021/6/18,20210618-100339,2286,wk11683,本,2,4572,,
B1034091,2020/9/2,20200902-100340,1061,wc12123,本,1,1061,,
L1034141,2021/7/20,20210720-100341,3100,vb11614,衣料,1,3100,,
P1034292,2019/8/20,20190820-100342,5900,kr11091,雑貨,2,11800,,
S1034328,2021/10/21,20211021-100343,17700,tz11711,家電,3,53100,,
Q1034447,2020/4/12,20200412-100344,27000,qj11821,家具,1,27000,,
S1034585,2021/5/13,20210513-100345,1027,cl12492,本,3,3081,,
H1034654,2020/1/6,20200106-100346,836,ll12661,本,1,836,,
A1034717,2020/5/14,20200514-100347,19100,ze10751,雑貨,1,19100,,
E1034870,2020/2/1,20200201-100348,856,ep11273,本,2,1712,,
Z1034942,2020/12/21,20201221-100349,28200,po11851,家電,3,84600,,
W1035043,2019/7/5,20190705-100350,14400,nm11979,衣料,2,28800,,
S1035177,2021/10/20,20211020-100351,23500,zx11169,家具,2,47000,,
E1035241,2021/10/7,20211007-100352,23200,us12746,家具,2,46400,,
P1035324,2019/8/28,20190828-100353,1471,tf11163,本,3,4413,,
J1035427,2020/10/18,20201018-100354,24500,wb12655,食品,3,73500,,
T1035558,2019/8/10,20190810-100355,21700,dd11422,衣料,1,21700,,
J1035675,2020/9/18,20200918-100356,7700,zt12273,食品,3,23100,,
B1035752,2020/7/20,20200720-100357,2257,my11496,本,2,4514,,
J1035832,2019/8/14,20190814-100358,22000,hw10190,家具,3,66000,,
G1035983,2019/11/28,20191128-100359,15500,sb11231,衣料,1,15500,,
D1036028,2019/8/5,20190805-100360,1300,sc10310,雑貨,3,3900,,
U1036138,2021/4/10,20210410-100361,7700,gs12743,家具,1,7700,,
Z1036292,2020/1/31,20200131-100362,15500,sb11231,衣料,2,31000,,
S1036396,2020/10/25,20201025-100363,12000,ta10559,雑貨,2,24000,,
W1036451,2019/3/11,20190311-100364,1036,cn10848,本,3,3108,,
K1036550,2019/4/24,20190424-100365,19900,xi12657,雑貨,3,59700,,
O1036664,2020/9/11,20200911-100366,1672,he10304,本,2,3344,,
T1036725,2020/9/30,20200930-100367,19600,ne10749,家電,3,58800,,
R1036880,2019/8/28,20190828-100368,2500,bx11535,衣料,3,7500,,
N1036972,2019/4/8,20190408-100369,17000,dm10662,家具,3,51000,,
P1037015,2019/5/12,20190512-100370,17500,fi11116,衣料,3,52500,,
W1037134,2021/3/10,20210310-100371,1277,zu11313,本,2,2554,,
Y1037227,2020/1/3,20200103-100372,2400,mq12031,食品,1,2400,,
N1037385,2021/4/3,20210403-100373,1951,hk10360,本,2,3902,,
